ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COG	COGID	COGIDS	ALIGNMENT
2248	Y	poder	yúma	yúma	y/j ú/u m a		364	306	2987	y/j ú/u - m a
2249	MA	poder	yuúma	yuúma	y/j u ú/u m a		364	306	2987	y/j u ú/u m a
2250	Va	poder	yumé-ba-	yumé-ba-	y/j u m é/e + b a		364	306	2987 2988	y/j u - m é/e + b a
2251	TA	poder	umé.	umé.	u m é/e		364	306	2987	- u - m é/e
2252	Proto	podrirse, podre	*pika	*pika	p i k a		197	113	2997	p i - - k a
2253	P	podrirse, podre	wi'ika-m	wi'ika-m	w i ʔ i k a + m		197	113	2997 2998	w i ʔ i k a + m
2254	PI	podrirse, podre	vikaika	vikaika	v i k ai k a		197	113	2997	v i k ai k a
2255	O	podrirse, podre	vika	vika	v i k a		197	113	2997	v i - - k a
2256	En	podrirse, podre	víka-	víka-	v í/i k a		197	113	2997	v í/i - - k a
2257	MA	podrirse, podre	biíka	biíka	b i í/i k a		197	113	2997	b i - í/i k a
2258	Vb	podrirse, podre	pika-	pika-	p i k a		197	113	2997	p i - - k a
2259	Va	podrirse, podre	piga-	piga-	p i g a		197	113	2997	p i - - g a
2260	TA	podrirse, podre	biká.	biká.	b i k á/a		197	113	2997	b i - - k á/a
2261	Proto	prender lumbre	naya	naya	n a y/j a		171	83	3008	n a - y/j a
2262	TEP	prender lumbre	naadá	naadá	n a a d á/a		171	83	3008	n a a d á/a
2263	O	prender lumbre	nah-	nah-	n a h		171	83	3008	n a - h -
2264	En	prender lumbre	náda-	náda-	n á/a d a		171	83	3008	n á/a - d a
2265	Y	prender lumbre	náya	náya	n á/a y/j a		171	83	3008	n á/a - y/j a
2266	MA	prender lumbre	náiya	náiya	n ái/ai y/j a		171	83	3008	n ái/ai - y/j a
2267	Va	prender lumbre	nayá-	nayá-	n a y/j á/a		171	83	3008	n a - y/j á/a
2268	Va	prender lumbre	na'i-	na'i-	n a ʔ i		171	83	3008	n a - ʔ i
2269	TA	prender lumbre	na'yá.	na'yá.	n a y/j á/a		171	83	3008	n a - y/j á/a
2270	Proto	pulga	*tɨpu	*tɨpu	t ɨ p u		298	228	3018	t ɨ p u - - -
2271	O	pulga	teppu	teppu	t e pp/pː u		298	228	3018	t e pp/pː u - - -
2272	En	pulga	tepú	tepú	t e p ú/u		298	228	3018	t e p ú/u - - -
2273	Y	pulga	téput	téput	t é/e p u t		298	228	3018	t é/e p u - t -
2274	MA	pulga	tépput	tépput	t é/e pp/pː u t		298	228	3018	t é/e pp/pː u - t -
2275	Vb	pulga	tepuhcí	tepuhcí	t e p u h c í/i		298	228	3018	t e p u h c í/i
2276	Va	pulga	tepuhcí	tepuhcí	t e p u h c í/i		298	228	3018	t e p u h c í/i
2277	TA	pulga	ripucí	ripucí	r i p u c í/i		298	228	3018	r i p u - c í/i
2278	TR	pulga	tipú-t.	tipú-t.	t i p ú/u + t		298	228	3018 3019	t i p ú/u - - - + t
2279	Proto	punta	*cup	*cup	c u p		48	321	3029	c u - p -
2280	O	punta	-cuppa-	-cuppa-	c u pp/pː a		48	321	3029	c u - pp/pː a
2281	Y	punta	cúpe	cúpe	c ú/u p e		48	321	3029	c ú/u - p e
2282	MA	punta	cúppe	cúppe	c ú/u pp/pː e		48	321	3029	c ú/u - pp/pː e
2283	Va	punta	cuhpá	cuhpá	c u h p á/a		48	321	3029	c u h p á/a
2284	TA	punta	cupá.	cupá.	c u p á/a		48	321	3029	c u - p á/a
2285	Proto	pájaro	*curu	*curu	c u r u		49	322	3037	c u - r u - -
2286	Y	pájaro	cólloi	cólloi	c ó/o ll/lː oi		49	322	3037	c ó/o - ll/lː oi - -
2287	MA	pájaro	córoi	córoi	c ó/o r oi		49	322	3037	c ó/o - r oi - -
2288	Vb	pájaro	curugí	curugí	c u r u g í/i		49	322	3037	c u - r u g í/i
2289	Va	pájaro	cu'rukí	cu'rukí	c u ʔ r u k í/i		49	322	3037	c u ʔ r u k í/i
2290	TA	pájaro	curugí.	curugí.	c u r u g í/i		49	322	3037	c u - r u g í/i
2291	Proto	pájaro	*wikici	*wikici	w i k i c i		336	273	3036	w i - k i c i
2292	En	pájaro	wíkci	wíkci	w í/i k c i		336	273	3036	w í/i - k - c i
2293	Y	pájaro	wiíkit.	wiíkit.	w i í/i k i t		336	273	3036	w i í/i k i t -
2294	MA	pájaro	wiíkit.	wiíkit.	w i í/i k i t		336	273	3036	w i í/i k i t -
2295	Proto	párpados	*sɨwɨ	*sɨwɨ	s ɨ w ɨ		253	178	3048	s ɨ - w ɨ
2296	TEP	párpados	hí-hɨvo	hí-hɨvo	h í/i + h ɨ v o		253	178	3050 3048	h í/i + h ɨ - v o
2297	Y	párpados	púh sé'ebe-m	púh_sé'ebe-m	p ú/u h + s é/e e b e + m		253	178	3047 3048 3049	p ú/u h + s é/e e b e + m
2298	MA	párpados	puh-sé'ebe-m	puh-sé'ebe-m	p u h + s é/e e b e + m		253	178	3047 3048 3049	p u h + s é/e e b e + m
2299	Va	párpados	sewé-ca-	sewé-ca-	s e w é/e + c a		253	178	3048 3051	s e - w é/e + c a
2300	Proto	quedarse, faltar	*pi	*pi	p i		192	107	3059	p i - - - -
2301	TEP	quedarse, faltar	ví'i-	ví'i-	v í/i ʔ i		192	107	3059	v í/i ʔ - - i
2302	O	quedarse, faltar	vi	vi	v i		192	107	3059	v i - - - -
2303	En	quedarse, faltar	víe-	víe-	v í/i e		192	107	3059	v í/i - - - e
2304	Y	quedarse, faltar	bé'e	bé'e	b é/e ʔ e		192	107	3059	b é/e ʔ - - e
2305	MA	quedarse, faltar	bé'eye	bé'eye	b é/e ʔ e y/j e		192	107	3059	b é/e ʔ e y/j e
2306	TA	quedarse, faltar	ri-pí.	ri-pí.	r i + p í/i		192	107	3060 3059	r i + p í/i - - - -
2307	Proto	quejarse	*tɨ'i	*tɨ'i	t ɨ ʔ i		284	213	3068	t ɨ ʔ i
2308	O	quejarse	tei	tei	t ei		284	213	3068	t ei - -
2309	En	quejarse	teí-na	teí-na	t e í/j + n a		284	213	3068 3069	t e í/j - + n a
2310	MA	quejarse	té'i-	té'i-	t é/e ʔ i		284	213	3068	t é/e ʔ i
2311	TA	quejarse	ri'.	ri'.	r i ʔ		284	213	3070	r i ʔ
2312	Proto	rajarse	*tapa	*tapa	t a p a		274	202	3075	t a - p a
2313	TEP	rajarse	taapa-nai-ɨ	taapa-nai-ɨ	t a a p a + n ai + ɨ		274	202	3075 3077 3078	t a a p a + n ai + ɨ
2314	O	rajarse	tapa	tapa	t a p a		274	202	3075	t a - p a
2315	En	rajarse	tapá-kda-	tapá-kda-	t a p á/a + k d a		274	202	3075 3076	t a - p á/a + k d a
2316	Va	rajarse	ta'pá-	ta'pá-	t a p á/a		274	202	3075	t a - p á/a
2317	TA	rajarse	rapá.	rapá.	r a p á/a		274	202	3075	r a - p á/a
2318	Proto	rana	*tɨmo	*tɨmo	t ɨ m o		291	221	3085	t ɨ - m o
2319	O	rana	temo	temo	t e m o		291	221	3085	t e - m o
2320	En	rana	temó-t	temó-t	t e m ó/o + t		291	221	3085 3086	t e - m ó/o + t
2321	Vb	rana	te'emó	te'emó	t e e m ó/o		291	221	3085	t e e m ó/o
2322	Va	rana	temó	temó	t e m ó/o		291	221	3085	t e - m ó/o
2323	TA	rana	remó.	remó.	r e m ó/o		291	221	3085	r e - m ó/o
2324	Proto	raspar	*sipa	*sipa	s i p a		244	168	3093	s i p a -
2325	Proto	raspar	sip-i	sip-i	s i p + i		244	168	3093 3094	s i p - - + i
2326	P	raspar	hiw	hiw	h i w		244	168	3093	h i w - -
2327	PI	raspar	hiba	hiba	h i b a		244	168	3093	h i b a -
2328	En	raspar	síba-	síba-	s í/i b a		244	168	3093	s í/i b a -
2329	Va	raspar	siba-	siba-	s i b a		244	168	3093	s i b a -
2330	TA	raspar	sipá	sipá	s i p á/a		244	168	3093	s i p á/a -
2331	TA	raspar	si'pá	si'pá	s i p á/a		244	168	3093	s i p á/a -
2332	TA	raspar	sipi-.	sipi-.	s i p i +		244	168	3093	s i p i +
2333	Proto	rastrojo	*sono	*sono	s o n o		257	182	3104	s o - - n o
2334	En	rastrojo	sonó	sonó	s o n ó/o		257	182	3104	s o - - n ó/o
2335	MA	rastrojo	sánna	sánna	s á/a nn/nː a		257	182	3104	s á/a - - nn/nː a
2336	Vb	rastrojo	so'onó	so'onó	s o ʔ o n ó/o		257	182	3104	s o ʔ o n ó/o
2337	Va	rastrojo	sonó	sonó	s o n ó/o		257	182	3104	s o - - n ó/o
2338	TA	rastrojo	sonó	sonó	s o n ó/o		257	182	3104	s o - - n ó/o
2339	TR	rastrojo	sono-wolít	sono-wolít	s o n o + w o l í/i t		257	182	3104 3105	s o - - n o + w o l í/i t
2340	Proto	rata	*tori	*tori	t o r i		314	247	3113	t o - r i
2341	Es	rata	tori	tori	t o r i		314	247	3113	t o - r i
2342	Y	rata	tóri	tóri	t ó/o r i		314	247	3113	t ó/o - r i
2343	MA	rata	toóri	toóri	t o ó/o r i		314	247	3113	t o ó/o r i
2344	Vb	rata	toorí	toorí	t oː r í/i		314	247	3113	t oː - r í/i
2345	Va	rata	torí	torí	t o r í/i		314	247	3113	t o - r í/i
2346	TA	rata	rorí.	rorí.	r o r í/i		314	247	3113	r o - r í/i
2347	TR	rata	toli.	toli.	t o l i		314	247	3113	t o - l i
2348	Proto	ratón	*poc	*poc	p o c		210	129	3124	p o c
2349	TEP	ratón	vosíki	vosíki	v o s í/i k i		210	129	3122	v o s í/i k i
2350	En	ratón	voisék	voisék	v oi s é/e k		210	129	3122	v oi s é/e k -
2351	TR	ratón	he-wocó-t	he-wocó-t	h e + w o c ó/o + t		210	129	3125 3122 3126	h e + w o c ó/o - - + t
2352	Proto	ratón	*tɨkuri	*tɨkuri	t ɨ k u r i		290	220	3123	t ɨ - k - u r i
2353	TEP	ratón	tɨɨkúri	tɨɨkúri	t ɨ ɨ k ú/u r i		290	220	3123	t ɨ ɨ k - ú/u r i
2354	O	ratón	cikuri	cikuri	c i k u r i		290	220	3123	c i - k - u r i
2355	En	ratón	cikúri	cikúri	c i k ú/u r i		290	220	3123	c i - k - ú/u r i
2356	Y	ratón	cíkul	cíkul	c í/i k u l		290	220	3123	c í/i - k - u l -
2357	MA	ratón	cíkkul	cíkkul	c í/i kk/kː u l		290	220	3123	c í/i - kk/kː - u l -
2358	Vb	ratón	cikuurí	cikuurí	c i k u u/u r í/i		290	220	3123	c i - k u u/u r í/i
2359	Va	ratón	ci'kurí	ci'kurí	c i ʔ k u r í/i		290	220	3123	c i ʔ k - u r í/i
2360	TA	ratón	cikurí.	cikurí.	c i k u r í/i		290	220	3123	c i - k - u r í/i
2361	Proto	raíz	*nawa	*nawa	n a w a		169	80	3138	n a - w a
2362	O	raíz	nagwa	nagwa	n a gʷ a		169	80	3138	n a - gʷ a
2363	En	raíz	náwa	náwa	n á/a w a		169	80	3138	n á/a - w a
2364	Y	raíz	naáwa	naáwa	n a á/a w a		169	80	3138	n a á/a w a
2365	MA	raíz	naágwa-	naágwa-	n a á/a gʷ a		169	80	3138	n a á/a gʷ a
2366	Vb	raíz	naawá	naawá	n a a w á/a		169	80	3138	n a a w á/a
2367	Va	raíz	nawá	nawá	n a w á/a		169	80	3138	n a - w á/a
2368	TA	raíz	nawá	nawá	n a w á/a		169	80	3138	n a - w á/a
2369	TR	raíz	namu-sír.	namu-sír.	n a m u + s í/i r		169	80	3138 3139	n a - m u + s í/i r
2370	Proto	regalar	*cɨriwa	*cɨriwa	c ɨ r i w a		36	301	3149	c ɨ r i w - - a -
2371	Va	regalar	ceriwéra-	ceriwéra-	c e r i w é/e r a		36	301	3149	c e r i w é/e r a -
2372	TA	regalar	ciriwé	ciriwé	c i r i w é/e		36	301	3149	c i r i w - - é/e -
2373	TR	regalar	hiliwa-.	hiliwa-.	h i l i w a +		36	301	3149	h i l i w - - a +
2374	Proto	regañar	*puyi	*puyi	p u y/j i		224	145	3154	p u - y/j i
2375	O	regañar	budi	budi	b u d i		224	145	3154	b u - d i
2376	En	regañar	vúde-	vúde-	v ú/u d e		224	145	3154	v ú/u - d e
2377	Y	regañar	buúe	buúe	b uú/uː e		224	145	3154	b uú/uː - - e
2378	MA	regañar	buúye.	buúye.	b u ú/u y/j e		224	145	3154	b u ú/u y/j e
2379	Proto	regresar	*nora	*nora	n o r a		178	91	3160	n o - - r a -
2380	Proto	regresar	nor-i	nor-i	n o r + i		178	91	3160 3163	n o - - r - - + i
2381	TEP	regresar	norá-gi	norá-gi	n o r á/a + g i		178	91	3160 3161	n o - - r á/a - + g i
2382	En	regresar	nóro-	nóro-	n ó/o r o		178	91	3160	n ó/o - - r o -
2383	Y	regresar	nói-te	nói-te	n ó/o i + t e		178	91	3160 3162	n ó/o - - - i - + t e
2384	MA	regresar	no-	no-	n o		178	91	3160	n o - - - - -
2385	MA	regresar	nói-	nói-	n ó/o i		178	91	3160	n ó/o - - - i -
2386	Vb	regresar	no'orá	no'orá	n o ʔ o r á/a		178	91	3160	n o ʔ o r á/a -
2387	Va	regresar	noni-	noni-	n o n i		178	91	3160	n o - - n i -
2388	TA	regresar	nóra	nóra	n ó/o r a		178	91	3160	n ó/o - - r a -
2389	TA	regresar	norí-.	norí-.	n o r í/i +		178	91	3160	n o - - r í/i +
2390	Proto	renacuajo	*siwori	*siwori	s i w o r i		247	171	3175	s i w - - o r i
2391	O	renacuajo	siwori	siwori	s i w o r i		247	171	3175	s i w - - o r i
2392	En	renacuajo	sibóri	sibóri	s i b ó/o r i		247	171	3175	s i b - - ó/o r i
2393	Y	renacuajo	síbo'oli-m (p1)	síbo'oli-m_(p1)	s í/i b o ʔ o l i + m		247	171	3175 3176	s í/i b o ʔ o l i + m
2394	MA	renacuajo	síbo'ori	síbo'ori	s í/i b o ʔ o r i		247	171	3175	s í/i b o ʔ o r i
2395	TA	renacuajo	sibóri.	sibóri.	s i b ó/o r i		247	171	3175	s i b - - ó/o r i
2396	Proto	reírse	*'aci	*'aci	ʔ a c i		1	1	3183	ʔ a - - c i
2397	TEP	reírse	'á'asɨ-i	'á'asɨ-i	ʔ á/a ʔ a s ɨ + i		1	1	3183 3184	ʔ á/a ʔ a s ɨ + i
2398	O	reírse	aci	aci	a c i		1	1	3183	- a - - c i
2399	Y	reírse	'áce	'áce	ʔ á/a c e		1	1	3183	ʔ á/a - - c e
2400	MA	reírse	aáce	aáce	a á/a c e		1	1	3183	- a - á/a c e
2401	Vb	reírse	háci-	háci-	h á/a c i		1	1	3183	h á/a - - c i
2402	Va	reírse	aci-	aci-	a c i		1	1	3183	- a - - c i
2403	TA	reírse	ací.	ací.	a c í/i		1	1	3183	- a - - c í/i
2404	Proto	robar	*'ɨci-kwa	*'ɨci-kwa	ɨ c i + kʷ a		11	13	3194 3195	- ɨ c - - - i - + kʷ a
2405	TEP	robar	'ɨɨsi-	'ɨɨsi-	ʔ ɨɨ/ɨː s i		11	13	3194	ʔ ɨɨ/ɨː s - - - i -
2406	O	robar	ecikkoa	ecikkoa	e c i kk/kː o a		11	13	3194	- e c i kk/kː o a -
2407	En	robar	écba-	écba-	é/e c b a		11	13	3193	- é/e c b a
2408	Y	robar	'étbwa	'étbwa	ʔ é/e t bw/bʷ a		11	13	3193	ʔ é/e t bw/bʷ a
2409	MA	robar	ékbwa	ékbwa	é/e k bw/bʷ a		11	13	3193	- é/e k bw/bʷ a
2410	Va	robar	icikóa-	icikóa-	i c i k ó/o a		11	13	3194	- i c i k ó/o a -
2411	TA	robar	ciwá	ciwá	c i w á/a		11	13	3194	- - c i w - á/a -
2412	TA	robar	cigó-	cigó-	c i g ó/o		11	13	3194	- - c i g - ó/o -
2413	TR	robar	icikwa-.	icikwa-.	i c i kʷ a +		11	13	3194	- i c i kʷ - a +
2414	Proto	rodilla	*coko	*coko	c o k o		37	309	3205	c o - - k - - - - o
2415	Vb	rodilla	copokori (cokopori?)	copokori_(cokopori?)	c o p o k o r i		37	309	3205	c o p o k o - - r i
2416	Va	rodilla	cohkópo	cohkópo	c o h k ó/o p o		37	309	3205	c o h - k ó/o p - - o
2417	TA	rodilla	cokóbara	cokóbara	c o k ó/o b a r a		37	309	3205	c o - - k ó/o b a r a
2418	TR	rodilla	mo-sokó-	mo-sokó-	m o + s o k ó/o		37	309	3206 3205	m o + s o - - k - - - - ó/o
2419	TR	rodilla	rótula.	rótula.	r ó/o t u l a		37	309	3207	r ó/o t u l a
2420	Proto	rojo	*sɨta	*sɨta	s ɨ t a		251	176	3213	s ɨ - t a -
2421	P	rojo	hɨt-mag	hɨt-mag	h ɨ t + m a g		251	176	3213 3214	h ɨ - t - - + m a g
2422	O	rojo	setta	setta	s e tt/tː a		251	176	3213	s e - tt/tː a -
2423	Vb	rojo	sehtá-name	sehtá-name	s e h t á/a + n a m e		251	176	3213 3215	s e h t á/a - + n a m e
2424	Va	rojo	sehtá-	sehtá-	s e h t á/a		251	176	3213	s e h t á/a -
2425	TA	rojo	sitá-	sitá-	s i t á/a		251	176	3213	s i - t á/a -
2426	TA	rojo	será-.	será-.	s e r á/a +		251	176	3213	s e - r á/a +
2427	Proto	saber	*matɨ	*matɨ	m a t ɨ		142	51	3223	m a - t ɨ
2428	Proto	saber	mac-i	mac-i	m a c + i		142	51	3223 3225	m a - c - + i
2429	TEP	saber	máatɨ	máatɨ	m á/a a t ɨ		142	51	3223	m á/a a t ɨ
2430	Y	saber	máh-ta	máh-ta	m á/a h + t a		142	51	3223 3224	m á/a - h - + t a - - -
2431	MA	saber	mah-tía	mah-tía	m a h + t í/i a		142	51	3223 3224	m a - h - + t í/i - a -
2432	Va	saber	maci-	maci-	m a c i		142	51	3223	m a - c i
2433	TA	saber	mací	mací	m a c í/i		142	51	3223	m a - c í/i
2434	TR	saber	may-turát	may-turát	m ay/ai + t u r á/a t		142	51	3223 3224	m ay/ai - - - + t u r á/a t
2435	Proto	sal	*'ona	*'ona	ʔ o n a		16	70	3236	ʔ o - - n a -
2436	TEP	sal	'ónai	'ónai	ʔ ó/o n ai		16	70	3236	ʔ ó/o - - n ai -
2437	En	sal	óna-	óna-	ó/o n a		16	70	3236	- ó/o - - n a -
2438	Y	sal	'oóna	'oóna	o ó/o n a		16	70	3236	- o - ó/o n a -
2439	MA	sal	oóna	oóna	o ó/o n a		16	70	3236	- o - ó/o n a -
2440	Vb	sal	ho'oná	ho'oná	h o ʔ o n á/a		16	70	3236	h o ʔ o n á/a -
2441	Va	sal	woná	woná	w o n á/a		16	70	3236	w o - - n á/a -
2442	TA	sal	oná	oná	o n á/a		16	70	3236	- o - - n á/a -
2443	TR	sal	oná-.	oná-.	o n á/a +		16	70	3236	- o - - n á/a +
2444	Proto	salir	*puca	*puca	p u c a		218	137	3247	p u - c a
2445	Proto	salir	puwa	puwa	p u w a		218	137	3247	p u - w a
2446	TEP	salir	vuusá-nai	vuusá-nai	v u u/u s á/a + n ai		218	137	3247 3248	v u u/u s á/a + n ai
2447	O	salir	buca	buca	b u c a		218	137	3247	b u - c a
2448	En	salir	hi-púwa-	hi-púwa-	h i + p ú/u w a		218	137	3246 3247	h i + p ú/u - w a
2449	Va	salir	puyá-	puyá-	p u y/j á/a		218	137	3247	p u - y/j á/a
2450	TA	salir	buyá.	buyá.	b u y/j á/a		218	137	3247	b u - y/j á/a
2451	Proto	sangre	*'ɨra	*'ɨra	ɨ r a		13	37	3256	- ɨ - r a -
2452	TEP	sangre	'ɨ'írai	'ɨ'írai	ʔ ɨ í/i r ai		13	37	3256	ʔ ɨ í/i r ai -
2453	O	sangre	hera	hera	h e r a		13	37	3256	h e - r a -
2454	En	sangre	éra-	éra-	é/e r a		13	37	3256	- é/e - r a -
2455	Vb	sangre	heerá	heerá	h ee/eː r á/a		13	37	3256	h ee/eː - r á/a -
2456	Va	sangre	erá	erá	e r á/a		13	37	3256	- e - r á/a -
2457	TA	sangre	rá	rá	r á/a		13	37	3256	- - - r á/a -
2458	TR	sangre	ará-.	ará-.	a r á/a +		13	37	3256	- a - r á/a +
2459	Proto	sapo	*kwaya	*kwaya	kʷ a y/j a		119	24	3265	kʷ a y/j a
2460	P	sapo	bá-bad	bá-bad	b á/a + b a d		119	24	3267 3268	b á/a + b a d -
2461	Tn	sapo	ba-badai	ba-badai	b a + b a d ai		119	24	3267 3268	b a + b a d ai
2462	O	sapo	koa-ri	koa-ri	k o a + r i		119	24	3265 3266	k o - a + r i
2463	En	sapo	kohá-r	kohá-r	k o h á/a + r		119	24	3265 3266	k o h á/a + r -
2464	Vb	sapo	koha-rí	koha-rí	k o h a + r í/i		119	24	3265 3266	k o h a + r í/i
2465	Va	sapo	koha-rí	koha-rí	k o h a + r í/i		119	24	3265 3266	k o h a + r í/i
2466	TA	sapo	kowa-rí	kowa-rí	k o w a + r í/i		119	24	3265 3266	k o w a + r í/i
2467	TR	sapo	kua-nyít	kua-nyít	k u/w a + n y/j í/i t		119	24	3265 3269	k - u/w a + n y/j í/i t
2468	Proto	secarse	*wakɨ	*wakɨ	w a k ɨ		325	260	3283	w a - - k ɨ -
2469	Proto	secarse	wak-i	wak-i	w a k + i		325	260	3283 3284	w a - - k - - + i
2470	TEP	secarse	gáki	gáki	g á/a k i		325	260	3283	g á/a - - k i -
2471	O	secarse	gwak-	gwak-	gʷ a k		325	260	3283	gʷ a - - k - -
2472	En	secarse	wáke	wáke	w á/a k e		325	260	3283	w á/a - - k e -
2473	Y	secarse	waáke	waáke	w a á/a k e		325	260	3283	w a - á/a k e -
2474	MA	secarse	gwaáke	gwaáke	gʷ a á/a k e		325	260	3283	gʷ a - á/a k e -
2475	Vb	secarse	wa'aki-	wa'aki-	w a ʔ a k i		325	260	3283	w a ʔ a k i -
2476	Va	secarse	wagi-	wagi-	w a g i		325	260	3283	w a - - g i -
2477	TA	secarse	wakí	wakí	w a k í/i		325	260	3283	w a - - k í/i -
2478	TA	secarse	waké-.	waké-.	w a k é/e +		325	260	3283	w a - - k é/e +
2479	Proto	seis	*pusani	*pusani	p u s a n i		222	142	3296	p u - s a n i
2480	O	seis	bussani	bussani	b u ss/sː a n i		222	142	3296	b u - ss/sː a n i
2481	En	seis	vusáni	vusáni	v u s á/a n i		222	142	3296	v u - s á/a n i
2482	Y	seis	búsani	búsani	b ú/u s a n i		222	142	3296	b ú/u - s a n i
2483	MA	seis	búsani	búsani	b ú/u s a n i		222	142	3296	b ú/u - s a n i
2484	Vb	seis	puhsáni	puhsáni	p u h s á/a n i		222	142	3296	p u h s á/a n i
2485	Va	seis	pusáni	pusáni	p u s á/a n i		222	142	3296	p u - s á/a n i
2486	TA	seis	usáni	usáni	u s á/a n i		222	142	3296	- u - s á/a n i
2487	TR	seis	usaní-r.	usaní-r.	u s a n í/i + r		222	142	3296 3297	- u - s a n í/i + r
2488	Proto	sembrar	*'ɨca	*'ɨca	ɨ c a		10	2	3307	- ɨ - c a
2489	Proto	sembrar	ɨc-i	ɨc-i	ɨ c + i		10	2	3307 3309	- ɨ - c - + i
2490	TEP	sembrar	'ísa-	'ísa-	ʔ í/i s a		10	2	3307	ʔ í/i - s a
2491	O	sembrar	eca	eca	e c a		10	2	3307	- e - c a
2492	O	sembrar	eci-	eci-	e c i		10	2	3307	- e - c i
2493	En	sembrar	éca-	éca-	é/e c a		10	2	3307	- é/e - c a
2494	Y	sembrar	'eéca	'eéca	ʔ e é/e c a		10	2	3307	ʔ e é/e c a
2495	MA	sembrar	eéca	eéca	e é/e c a		10	2	3307	- e é/e c a
2496	Vb	sembrar	héci-	héci-	h é/e c i		10	2	3307	h é/e - c i
2497	Va	sembrar	eca-	eca-	e c a		10	2	3307	- e - c a
2498	Va	sembrar	eci-	eci-	e c i		10	2	3307	- e - c i
2499	TA	sembrar	ecá	ecá	e c á/a		10	2	3307	- e - c á/a
2500	TA	sembrar	ici-	ici-	i c i		10	2	3307	- i - c i
2501	TR	sembrar	sa-.	sa-.	s a +		10	2	3308	s a +
2502	Proto	semilla	*paci	*paci	p a c i		181	95	3323	p a - c i
2503	O	semilla	baci-	baci-	b a c i		181	95	3323	b a - c i
2504	Es	semilla	baci-	baci-	b a c i		181	95	3323	b a - c i
2505	Y	semilla	bací-a	bací-a	b a c í/i + a		181	95	3323 3324	b a - c í/i + a
2506	MA	semilla	báci-a	báci-a	b á/a c i + a		181	95	3323 3324	b á/a - c i + a
2507	Vb	semilla	pahci-rá	pahci-rá	p a h c i + r á/a		181	95	3323 3325	p a h c i + r á/a -
2508	Va	semilla	pahcí	pahcí	p a h c í/i		181	95	3323	p a h c í/i
2509	TA	semilla	bací-ra	bací-ra	b a c í/i + r a		181	95	3323 3325	b a - c í/i + r a -
2510	TR	semilla	waci-rán.	waci-rán.	w a c i + r á/a n		181	95	3323 3325	w a - c i + r á/a n
2511	Proto	sentarse	*katɨ	*katɨ	k a t ɨ		76	352	3339	k a t ɨ
2512	Proto	sentarse	*yasa	*yasa	y/j a s a		351	290	3338	y/j a - s a -
2513	Proto	sentarse	yas-i	yas-i	y/j a s + i		351	290	3338 3341	y/j a - s - - + i
2514	TEP	sentarse	dáha	dáha	d á/a h a		351	290	3338	d á/a - h a -
2515	O	sentarse	dasa	dasa	d a s a		351	290	3338	d a - s a -
2516	En	sentarse	dáse-	dáse-	d á/a s e		351	290	3338	d á/a - s e -
2517	Y	sentarse	yeésa	yeésa	y/j e é/e s a		351	290	3338	y/j e é/e s a -
2518	MA	sentarse	yeésa	yeésa	y/j e é/e s a		351	290	3338	y/j e é/e s a -
2519	Vb	sentarse	yahsá	yahsá	y/j a h s á/a		351	290	3338	y/j a h s á/a -
2520	Va	sentarse	yasi-pá	yasi-pá	y/j a s i + p á/a		351	290	3338 3340	y/j a - s i - + p á/a
2521	TA	sentarse	asá	asá	a s á/a		351	290	3338	- a - s á/a -
2522	TA	sentarse	asi-	asi-	a s i		351	290	3338	- a - s i -
2523	TR	sentarse	nesa-.	nesa-.	n e s a +		351	290	3338	n e - s a +
2524	Proto	sentarse (suj. plur.)	*ho	*ho	h o		61	336	3354	- h o -
2525	Proto	sentarse (suj. plur.)	ho-i	ho-i	h o + i		61	336	3354 3356	- h o - + i
2526	O	sentarse (suj. plur.)	hoi-	hoi-	h oi		61	336	3354	- h oi -
2527	En	sentarse (suj. plur.)	hói-	hói-	h ó/o i		61	336	3354	- h ó/o i
2528	Es	sentarse (suj. plur.)	ho-	ho-	h o		61	336	3354	- h o -
2529	Y	sentarse (suj. plur.)	hó-te	hó-te	h ó/o + t e		61	336	3354 3355	- h ó/o - + t e
2530	MA	sentarse (suj. plur.)	hoó-te	hoó-te	h o ó/o + t e		61	336	3354 3355	- h o ó/o + t e
2531	Va	sentarse (suj. plur.)	ohó-	ohó-	o h ó/o		61	336	3354	o h ó/o -
2532	Va	sentarse (suj. plur.)	ohé-	ohé-	o h é/e		61	336	3354	o h é/e -
2533	TA	sentarse (suj. plur.)	hó	hó	h ó/o		61	336	3354	- h ó/o -
2534	Proto	sentir, desear	*'ɨra	*'ɨra	ɨ r a		12	25	3368	ɨ r a -
2535	O	sentir, desear	era	era	e r a		12	25	3368	e r a -
2536	En	sentir, desear	éra-	éra-	é/e r a		12	25	3368	é/e r a -
2537	Y	sentir, desear	'eéya	'eéya	ʔ e é/e y/j a		12	25	3369	ʔ e é/e y/j a
2538	MA	sentir, desear	éiya	éiya	é/e i y/j a		12	25	3369	- é/e i y/j a
2539	TA	sentir, desear	erá	erá	e r á/a		12	25	3368	e r á/a -
2540	TA	sentir, desear	irá	irá	i r á/a		12	25	3368	i r á/a -
2541	TR	sentir, desear	-era-.	-era-.	e r a +		12	25	3368	e r a +
2542	Proto	ser hondo	*toko	*toko	t o k o		309	241	3377	t o - k o
